Designator,Mid X,Mid Y,Rotation,Layer
B1,167.987919,-120.155115,90.0,top
D1,275.761539,-169.594377,353.0,top
D10,240.937848,-140.478724,356.0,top
D11,242.123704,-123.520135,356.0,top
D12,243.309566,-106.561545,356.0,top
D13,221.391094,-150.135689,358.0,top
D14,221.984385,-133.146045,358.0,top
D15,222.577676,-116.1564,358.0,top
D16,223.170969,-99.166756,358.0,top
D17,202.550185,-153.479426,359.0,top
D18,202.846873,-136.482015,359.0,top
D19,203.143565,-119.484604,359.0,top
D2,277.83332,-152.72109,353.0,top
D20,203.440256,-102.487194,359.0,top
D21,183.987919,-156.155115,0.0,top
D22,183.987921,-139.155116,0.0,top
D23,183.987921,-122.155117,0.0,top
D24,183.987922,-105.155115,0.0,top
D25,191.282016,-175.984746,15.0,top
D26,173.503178,-183.376037,30.0,top
D27,158.285591,-195.137618,45.0,top
D3,279.905101,-135.847807,353.0,top
D4,281.97688,-118.974522,353.0,top
D5,257.752496,-164.359846,354.0,top
D6,259.529478,-147.452974,354.0,top
D7,261.306464,-130.546102,354.0,top
D8,263.083448,-113.639229,354.0,top
D9,239.751987,-157.437313,356.0,top
JST1,160.987922,-117.155117,0.0,top
T1,142.56292,-106.155117,90.0,top
