Designator,Footprint,Quantity,Value,LCSC Part #
B1,SW_TACT_ALPS_SKQGABE010,1,,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D3, D4, D5, D6, D7, D8, D9",diode_tht_sod123,27,,
JST1,battery_connector_jst_ph_2,1,,
MCU1,xiao_smd,1,,
T1,SPDT_C128955,1,,
